1742,25000
962,42000
761,21000
753,77000
1118,59400
1581,35000
256,29000
1267,37000
971,67300
369,60100
635,3200
1631,37000
571,55000
1333,54800
364,54600
515,27000
1135,20000
666,2400
787,3800
421,26000
1065,14000
908,14000
1260,3000
950,5600
1761,1500
911,8400
971,5300
458,2500
458,757
782,6400
2080,3600
250,22
1763,2300
650,2800
1184,1300
957,2500
627,4500
895,422
1097,1600
1262,715
1738,907
1813,2800
2400,1300
662,3000
800,2800
367,3300
507,2600
992,2300
499,1400
619,1800
1152,867
2363,1500
988,631
759,1200
1098,950
2797,1200
1120,196
2488,1100
2049,668
2542,424
1011,8
2189,367
1864,42406
990,1733
1741,35691
1229,11061
2975,51319
1864,30756
2460,58425
2136,48060
2833,0
1995,4988
2332,27984
1998,45455
3442,76585
2696,24264
1913,5261
1858,25548
2457,0
2592,56376
1718,13315
1293,27476
3023,55170
3485,871
2093,39767
1490,16390
1238,23832
2583,12269
1007,10574
978,24206
3019,13586
2347,21123
2224,32248
1778,8001
1150,23288
2528,53720
2486,53449
2317,52712
2369,39681
1612,39091
1136,28116
2721,25850
3480,20880
1143,17145
2428,57058
2877,19420
776,3298
1284,31137
1145,5153
1793,34515
2904,7260
1473,0
2894,23152
1932,30912
3225,34669
3185,12740
2068,36707
2354,1177
2921,48927
2211,11055
2865,49421
1674,23018
2282,54198
2636,659
774,16641
1030,19828
734,15047
743,16160
1514,34065
2854,17124
1443,15512
1817,9085
1266,16458
2275,55738
1264,18012
2212,35392
1871,26194
2513,55914
1443,3968
912,1824
2366,2958
1542,22359
1201,8707
3239,3239
2566,25019
2089,49614
1530,33660
953,5956
